OpenGL Version: 4.0.0 - Build 10.18.10.4425
OpenGL Vendor: Intel
OpenGL Render: Intel(R) HD Graphics 4000
GLEW Version: 1.5.1
DiffX: -3 DiffY:1
DiffX: -4 DiffY:1
DiffX: -5 DiffY:0
DiffX: -5 DiffY:0
DiffX: -6 DiffY:0
DiffX: -8 DiffY:0
DiffX: -11 DiffY:0
DiffX: -11 DiffY:0
DiffX: -11 DiffY:0
DiffX: -10 DiffY:0
DiffX: -9 DiffY:0
DiffX: -12 DiffY:0
DiffX: -20 DiffY:0
DiffX: -23 DiffY:0
DiffX: -19 DiffY:-2
DiffX: -15 DiffY:-2
DiffX: -10 DiffY:-2
DiffX: -6 DiffY:-1
DiffX: -6 DiffY:-1
DiffX: -7 DiffY:-3
DiffX: -6 DiffY:-2
DiffX: -7 DiffY:-2
DiffX: -8 DiffY:-1
DiffX: -6 DiffY:-1
DiffX: -7 DiffY:-1
DiffX: -4 DiffY:0
DiffX: -5 DiffY:-1
DiffX: -4 DiffY:-1
DiffX: -4 DiffY:-1
DiffX: -5 DiffY:0
DiffX: -5 DiffY:0
DiffX: -6 DiffY:0
DiffX: -7 DiffY:-1
DiffX: -5 DiffY:0
DiffX: -4 DiffY:0
DiffX: -2 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: -1 DiffY:-6
DiffX: -1 DiffY:-8
DiffX: 0 DiffY:-20
DiffX: 7 DiffY:-20
DiffX: 7 DiffY:-16
DiffX: 6 DiffY:-19
DiffX: 5 DiffY:-16
DiffX: 3 DiffY:-12
DiffX: 3 DiffY:-11
DiffX: 2 DiffY:-7
DiffX: 3 DiffY:-10
DiffX: 1 DiffY:-6
DiffX: 1 DiffY:-5
DiffX: 1 DiffY:-4
DiffX: 2 DiffY:-3
DiffX: 2 DiffY:-6
DiffX: 5 DiffY:-5
DiffX: 3 DiffY:-3
DiffX: 2 DiffY:-2
DiffX: 1 DiffY:-2
DiffX: 3 DiffY:-2
DiffX: 6 DiffY:-4
DiffX: 14 DiffY:-7
DiffX: 20 DiffY:-8
DiffX: 15 DiffY:-6
DiffX: 15 DiffY:-6
DiffX: 17 DiffY:-5
DiffX: 14 DiffY:-5
DiffX: 6 DiffY:-2
DiffX: 1 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: -4 DiffY:2
DiffX: -4 DiffY:2
DiffX: -6 DiffY:3
DiffX: -5 DiffY:2
DiffX: -8 DiffY:3
DiffX: -11 DiffY:3
DiffX: -13 DiffY:3
DiffX: -14 DiffY:3
DiffX: -13 DiffY:2
DiffX: -11 DiffY:2
DiffX: -9 DiffY:3
DiffX: -11 DiffY:4
DiffX: -10 DiffY:3
DiffX: -9 DiffY:2
DiffX: -6 DiffY:2
DiffX: -4 DiffY:1
DiffX: -6 DiffY:4
DiffX: -7 DiffY:5
DiffX: -5 DiffY:3
DiffX: -3 DiffY:5
DiffX: -6 DiffY:10
DiffX: -6 DiffY:13
DiffX: -5 DiffY:15
DiffX: -4 DiffY:16
DiffX: -1 DiffY:12
DiffX: 0 DiffY:8
DiffX: 0 DiffY:7
DiffX: 0 DiffY:6
DiffX: 1 DiffY:9
DiffX: 0 DiffY:11
DiffX: 1 DiffY:13
DiffX: 1 DiffY:13
DiffX: 4 DiffY:12
DiffX: 4 DiffY:11
